yr,wk,total_checks
2013,15,13059
2013,14,64122
2013,13,10803
2013,12,10673
2013,11,5844
2013,10,4775
2013,9,12988
2013,8,13633
2013,7,10772
2013,6,9886
2013,5,10216
2013,4,8126
2013,3,7260
2013,2,5358
2013,1,3049
2012,52,2668
2012,51,4096
2012,50,4268
2012,49,5023
2012,48,4468
2012,47,4189
2012,46,4177
2012,45,3055
2012,44,2907
2012,43,3376
2012,42,2510
2012,41,2004
2012,40,1776
2012,39,1970
2012,38,1555
2012,37,1648
2012,36,1339
2012,35,3373
2012,34,417
2012,33,255
2012,32,342
2012,31,111
2012,1,345
